agent,gender,age,status,origin
Cresphontes,male,mature,power-holder,Messenian
Messenians,male,any adult age,free,Messenian
Sosias,male,mature,chattel-slave,n/a
Ruler of Laconia,male,mature,power-holder,Spartan
Teleutias,male,mature,power-holder,Spartan
The men in the fleet,male,any adult age,free,various
First Boy,male,child,free,Athenian
Armenians,male,any adult age,free,Armenian
Chaldaeans,male,any adult age,free,Chaldaean
Pistias,male,mature,free,Athenian
Representatives of the allies of both parties,male,mature/old,power-holder,various
Old man?,male,old,free,Greek
Theophemus,male,mature,free,Athenian
Theopompus,male,mature,free,Athenian
Witnesses in Socrates' trial,male,any adult age,free,Athenian
Jury who voted for the death penalty,male,mature/old,free,Athenian
The Thirty and their followers,male,mature/old,free,Athenian
Hipparchs,male,mature,power-holder,Athenian
Taxiarchs,male,mature,power-holder,Athenian
Phylarchs,male,mature,power-holder,Athenian
Rheomithres,male,mature,power-holder,Persian
Greeks in Scythia,male,any adult age,free,unknown
Herodotus,male,any adult age,free,Halicarnassian Became Thurian
Rulers,male,mature/old,power-holder,Milesian
Spudias,male,mature,free,Athenian
Assyrian King,male,adolescent,power-holder,Assyrian
Timenor,male,mature/old,free,Leontine
Sosis,male,mature/old,free,Leontine
Gelon,male,mature/old,free,Leontine
Circe,female,mature,power-holder,n/a
Peloponnesians,male,any adult age,free,various
Opponent,male,mature,free,Athenian
Carthaginians,male,any adult age,free,Carthaginian
Panthea,female,mature,power-holder,Susanian
Abradatas,male,mature,power-holder,Susanian
Men chosen to draw up register of 5000,male,mature/old,free,Athenian
Hound,male,n/a,n/a,n/a
Mnemon,male,mature,power-holder,Gortynian
Man,male,mature,free,Median
Demosthenes?,male,mature,free,Athenian
Members of the group,male,any adult age,free,Athenian
Aristodemus,male,mature,free,Athenian
Lysander,male,mature,power-holder,Spartan
Representatives of the Athenian garrison,male,mature/old,power-holder,Athenian
Thessalians,male,any adult age,free,Thessalian
Boeotians,male,any adult age,free,Boeotian
Dorians,male,any adult age,free,various
Perrhaebians,male,any adult age,free,Perrhaebian
Magnesians,male,any adult age,free,Magnesian
Dolopians,male,any adult age,free,Dolopian
Locrians,male,any adult age,free,Locrian
